roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1662116400000,“2022-09-02T07:00:00-04:00”,vividseats,7,192,2672,2864
1662120000000,“2022-09-02T08:00:00-04:00”,stubhub,13,208,3104,3312
1662120000000,“2022-09-02T08:00:00-04:00”,seatgeek,10,294,2723,3017
1662120000000,“2022-09-02T08:00:00-04:00”,vividseats,12,204,2660,2864
1662123600000,“2022-09-02T09:00:00-04:00”,stubhub,15,223,3089,3312
1662123600000,“2022-09-02T09:00:00-04:00”,seatgeek,13,307,2710,3017
1662123600000,“2022-09-02T09:00:00-04:00”,vividseats,13,217,2647,2864
1662127200000,“2022-09-02T10:00:00-04:00”,stubhub,20,243,3069,3312
1662127200000,“2022-09-02T10:00:00-04:00”,seatgeek,29,336,2681,3017
1662127200000,“2022-09-02T10:00:00-04:00”,vividseats,24,241,2623,2864
1662130800000,“2022-09-02T11:00:00-04:00”,stubhub,5,248,3064,3312
1662130800000,“2022-09-02T11:00:00-04:00”,seatgeek,4,340,2677,3017
1662130800000,“2022-09-02T11:00:00-04:00”,vividseats,8,249,2615,2864
1662134400000,“2022-09-02T12:00:00-04:00”,stubhub,10,258,3054,3312
1662134400000,“2022-09-02T12:00:00-04:00”,seatgeek,4,344,2673,3017
1662134400000,“2022-09-02T12:00:00-04:00”,vividseats,7,256,2608,2864
1662138000000,“2022-09-02T13:00:00-04:00”,stubhub,3,261,3051,3312
1662138000000,“2022-09-02T13:00:00-04:00”,seatgeek,4,348,2669,3017
1662138000000,“2022-09-02T13:00:00-04:00”,vividseats,5,261,2603,2864
1662141600000,“2022-09-02T14:00:00-04:00”,stubhub,0,261,3051,3312
1662141600000,“2022-09-02T14:00:00-04:00”,seatgeek,4,352,2665,3017
1662141600000,“2022-09-02T14:00:00-04:00”,vividseats,2,263,2601,2864
1662145200000,“2022-09-02T15:00:00-04:00”,stubhub,1,262,3050,3312
1662145200000,“2022-09-02T15:00:00-04:00”,seatgeek,4,356,2661,3017
1662145200000,“2022-09-02T15:00:00-04:00”,vividseats,4,267,2597,2864
1662148800000,“2022-09-02T16:00:00-04:00”,stubhub,8,270,3042,3312
1662148800000,“2022-09-02T16:00:00-04:00”,seatgeek,13,369,2648,3017
1662148800000,“2022-09-02T16:00:00-04:00”,vividseats,9,276,2588,2864
1662152400000,“2022-09-02T17:00:00-04:00”,stubhub,8,278,3034,3312
1662152400000,“2022-09-02T17:00:00-04:00”,seatgeek,10,379,2638,3017
1662152400000,“2022-09-02T17:00:00-04:00”,vividseats,6,282,2582,2864
1662156000000,“2022-09-02T18:00:00-04:00”,stubhub,5,283,3029,3312
1662156000000,“2022-09-02T18:00:00-04:00”,seatgeek,6,385,2632,3017
1662156000000,“2022-09-02T18:00:00-04:00”,vividseats,6,288,2576,2864
1662159600000,“2022-09-02T19:00:00-04:00”,stubhub,8,291,3021,3312
1662159600000,“2022-09-02T19:00:00-04:00”,seatgeek,9,394,2623,3017
1662159600000,“2022-09-02T19:00:00-04:00”,vividseats,11,299,2565,2864
1662163200000,“2022-09-02T20:00:00-04:00”,stubhub,10,301,3011,3312
1662163200000,“2022-09-02T20:00:00-04:00”,seatgeek,5,399,2618,3017
1662163200000,“2022-09-02T20:00:00-04:00”,vividseats,9,308,2556,2864
1662166800000,“2022-09-02T21:00:00-04:00”,stubhub,8,309,3003,3312
1662166800000,“2022-09-02T21:00:00-04:00”,seatgeek,4,403,2614,3017
1662166800000,“2022-09-02T21:00:00-04:00”,vividseats,7,315,2549,2864
1662170400000,“2022-09-02T22:00:00-04:00”,stubhub,24,333,2979,3312
1662170400000,“2022-09-02T22:00:00-04:00”,seatgeek,16,419,2598,3017
1662170400000,“2022-09-02T22:00:00-04:00”,vividseats,11,326,2538,2864
1662174000000,“2022-09-02T23:00:00-04:00”,stubhub,2,335,2977,3312
1662174000000,“2022-09-02T23:00:00-04:00”,seatgeek,2,421,2596,3017
1662174000000,“2022-09-02T23:00:00-04:00”,vividseats,0,326,2538,2864
1662177600000,“2022-09-03T00:00:00-04:00”,stubhub,18,353,2959,3312
1662177600000,“2022-09-03T00:00:00-04:00”,seatgeek,3,424,2593,3017
1662177600000,“2022-09-03T00:00:00-04:00”,vividseats,2,328,2536,2864
1662181200000,“2022-09-03T01:00:00-04:00”,stubhub,5,358,2954,3312
1662181200000,“2022-09-03T01:00:00-04:00”,seatgeek,5,429,2588,3017
1662181200000,“2022-09-03T01:00:00-04:00”,vividseats,3,331,2533,2864
1662184800000,“2022-09-03T02:00:00-04:00”,stubhub,3,361,2951,3312
1662184800000,“2022-09-03T02:00:00-04:00”,seatgeek,2,431,2586,3017
1662184800000,“2022-09-03T02:00:00-04:00”,vividseats,1,332,2532,2864
1662192000000,“2022-09-03T04:00:00-04:00”,stubhub,1,362,2950,3312
1662192000000,“2022-09-03T04:00:00-04:00”,seatgeek,0,431,2586,3017
1662192000000,“2022-09-03T04:00:00-04:00”,vividseats,5,337,2527,2864
1662199200000,“2022-09-03T06:00:00-04:00”,stubhub,2,364,2948,3312
1662199200000,“2022-09-03T06:00:00-04:00”,seatgeek,5,436,2581,3017
1662199200000,“2022-09-03T06:00:00-04:00”,vividseats,5,342,2522,2864
1662202800000,“2022-09-03T07:00:00-04:00”,stubhub,1,365,2947,3312
1662202800000,“2022-09-03T07:00:00-04:00”,seatgeek,1,437,2580,3017
1662202800000,“2022-09-03T07:00:00-04:00”,vividseats,2,344,2520,2864
1662206400000,“2022-09-03T08:00:00-04:00”,stubhub,1,366,2946,3312
1662206400000,“2022-09-03T08:00:00-04:00”,seatgeek,3,440,2577,3017
1662206400000,“2022-09-03T08:00:00-04:00”,vividseats,2,346,2518,2864
1662210000000,“2022-09-03T09:00:00-04:00”,stubhub,49,415,2897,3312
1662210000000,“2022-09-03T09:00:00-04:00”,seatgeek,9,449,2568,3017
1662210000000,“2022-09-03T09:00:00-04:00”,vividseats,7,353,2511,2864
1662213600000,“2022-09-03T10:00:00-04:00”,stubhub,0,415,2897,3312
1662213600000,“2022-09-03T10:00:00-04:00”,seatgeek,16,465,2552,3017
1662213600000,“2022-09-03T10:00:00-04:00”,vividseats,12,365,2499,2864
1662217200000,“2022-09-03T11:00:00-04:00”,stubhub,0,415,2897,3312
1662217200000,“2022-09-03T11:00:00-04:00”,seatgeek,3,468,2549,3017
1662217200000,“2022-09-03T11:00:00-04:00”,vividseats,9,374,2490,2864
1662220800000,“2022-09-03T12:00:00-04:00”,stubhub,0,415,2897,3312
1662220800000,“2022-09-03T12:00:00-04:00”,seatgeek,10,478,2539,3017
1662220800000,“2022-09-03T12:00:00-04:00”,vividseats,2,376,2488,2864
1662224400000,“2022-09-03T13:00:00-04:00”,stubhub,0,415,2897,3312
1662224400000,“2022-09-03T13:00:00-04:00”,seatgeek,5,483,2534,3017
1662224400000,“2022-09-03T13:00:00-04:00”,vividseats,4,380,2484,2864
1662231600000,“2022-09-03T15:00:00-04:00”,stubhub,0,415,2897,3312
1662231600000,“2022-09-03T15:00:00-04:00”,seatgeek,1,484,2533,3017
1662231600000,“2022-09-03T15:00:00-04:00”,vividseats,2,382,2482,2864
1662235200000,“2022-09-03T16:00:00-04:00”,stubhub,0,415,2897,3312
1662235200000,“2022-09-03T16:00:00-04:00”,seatgeek,6,490,2527,3017
1662235200000,“2022-09-03T16:00:00-04:00”,vividseats,5,387,2477,2864
1662238800000,“2022-09-03T17:00:00-04:00”,stubhub,0,415,2897,3312
1662238800000,“2022-09-03T17:00:00-04:00”,seatgeek,3,493,2524,3017
1662238800000,“2022-09-03T17:00:00-04:00”,vividseats,2,389,2475,2864
1662242400000,“2022-09-03T18:00:00-04:00”,stubhub,0,415,2897,3312
1662242400000,“2022-09-03T18:00:00-04:00”,seatgeek,2,495,2522,3017
1662242400000,“2022-09-03T18:00:00-04:00”,vividseats,0,389,2475,2864
1662249600000,“2022-09-03T20:00:00-04:00”,stubhub,1,416,2896,3312
1662249600000,“2022-09-03T20:00:00-04:00”,seatgeek,2,497,2520,3017
1662249600000,“2022-09-03T20:00:00-04:00”,vividseats,0,389,2475,2864
1662253200000,“2022-09-03T21:00:00-04:00”,stubhub,3,419,2893,3312
1662253200000,“2022-09-03T21:00:00-04:00”,seatgeek,4,501,2516,3017
1662253200000,“2022-09-03T21:00:00-04:00”,vividseats,1,390,2474,2864
1662256800000,“2022-09-03T22:00:00-04:00”,stubhub,2,421,2891,3312
1662256800000,“2022-09-03T22:00:00-04:00”,seatgeek,3,504,2513,3017
1662256800000,“2022-09-03T22:00:00-04:00”,vividseats,1,391,2473,2864
1662260400000,“2022-09-03T23:00:00-04:00”,stubhub,2,423,2889,3312
1662260400000,“2022-09-03T23:00:00-04:00”,seatgeek,3,507,2510,3017
1662260400000,“2022-09-03T23:00:00-04:00”,vividseats,1,392,2472,2864
1662264000000,“2022-09-04T00:00:00-04:00”,stubhub,0,423,2889,3312
1662264000000,“2022-09-04T00:00:00-04:00”,seatgeek,1,508,2509,3017
1662264000000,“2022-09-04T00:00:00-04:00”,vividseats,0,392,2472,2864
1662267600000,“2022-09-04T01:00:00-04:00”,stubhub,1,424,2888,3312
1662267600000,“2022-09-04T01:00:00-04:00”,seatgeek,1,509,2508,3017
1662267600000,“2022-09-04T01:00:00-04:00”,vividseats,0,392,2472,2864
1662274800000,“2022-09-04T03:00:00-04:00”,stubhub,3,427,2885,3312
1662274800000,“2022-09-04T03:00:00-04:00”,seatgeek,0,509,2508,3017
1662274800000,“2022-09-04T03:00:00-04:00”,vividseats,4,396,2468,2864
1662278400000,“2022-09-04T04:00:00-04:00”,stubhub,1,428,2884,3312
1662278400000,“2022-09-04T04:00:00-04:00”,seatgeek,0,509,2508,3017
1662278400000,“2022-09-04T04:00:00-04:00”,vividseats,0,396,2468,2864
1662282000000,“2022-09-04T05:00:00-04:00”,stubhub,3,431,2881,3312
1662282000000,“2022-09-04T05:00:00-04:00”,seatgeek,0,509,2508,3017
1662282000000,“2022-09-04T05:00:00-04:00”,vividseats,2,398,2466,2864
