ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
stubhub--5430426099,stubhub,F,127,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=-5430426099,1,1662036268783
stubhub-5475901514,stubhub,H,23,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5475901514,1,1662036268783
stubhub-5478010971,stubhub,X,314,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5478010971,1,1662036268783
vividseats-VB5738636416,vividseats,Q,311,https://www.vividseats.com//production/3727337?showDetails=VB5738636416&qty=1,1,1662036268783
vividseats-VB5736596259,vividseats,D,109,https://www.vividseats.com//production/3727337?showDetails=VB5736596259&qty=1,1,1662036268783
seatgeek-8lKt3VJaXj8,seatgeek,C,332,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=8lKt3VJaXj8,3,1662036268783
vividseats-VB5740841417,vividseats,F,103,https://www.vividseats.com//production/3727337?showDetails=VB5740841417&qty=1,1,1662036268783
stubhub-5478020341,stubhub,J,317,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5478020341,1,1662036268783
vividseats-VB5734680727,vividseats,J,301,https://www.vividseats.com//production/3727337?showDetails=VB5734680727&qty=1,1,1662035957730
seatgeek-6mOhKpXbA7r,seatgeek,U,329,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpXbA7r,4,1662036268783
vividseats-VB5740763971,vividseats,G,22,https://www.vividseats.com//production/3727337?showDetails=VB5740763971&qty=1,1,1662036268783
vividseats-VB5560436499,vividseats,G,135,https://www.vividseats.com//production/3727337?showDetails=VB5560436499&qty=1,1,1662036268783
seatgeek-9P2cxe4p6pY,seatgeek,W,335,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=9P2cxe4p6pY,3,1662036268783
vividseats-VB5742310228,vividseats,G,331,https://www.vividseats.com//production/3727337?showDetails=VB5742310228&qty=1,1,1662036268783
seatgeek-eeac54dqN5D,seatgeek,M,117,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=eeac54dqN5D,3,1662036268783
seatgeek-lxVsqJwExJB,seatgeek,J,331,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=lxVsqJwExJB,3,1662036268783
seatgeek-JABI564Kn9X,seatgeek,J,330,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=JABI564Kn9X,3,1662036268783
seatgeek-agktEa6GoE8,seatgeek,L,328,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=agktEa6GoE8,3,1662035957730
