ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-5Ejuqgqn6mg,seatgeek,J,118,Section 118 Row J,Section 118 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=5Ejuqgqn6mg,12,1662422531728
seatgeek-5EjuqgqvYjw,seatgeek,G,303,Section 303 Row G,Section 303 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=5EjuqgqvYjw,27,1662566956686
seatgeek-5Ejuqgqzn32,seatgeek,F,117,Section 117 Row F,Section 117 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=5Ejuqgqzn32,1,1662036550441
seatgeek-6mOhKZK34PJ,seatgeek,H,116,Section 116 Row H,Section 116 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZK34PJ,9,1662422531728
seatgeek-6mOhKZK8AgX,seatgeek,J,136,Section 136 Row J,Section 136 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZK8AgX,6,1662144396285
seatgeek-6mOhKZK9Jdx,seatgeek,J,117,Section 117 Row J,Section 117 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZK9Jdx,20,1662596828482
seatgeek-6mOhKZKG8e9,seatgeek,A,119,Section 119 Row A,Section 119 Row A,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKG8e9,3,1662163094533
seatgeek-6mOhKZKM4OL,seatgeek,H,26,Section 26 Row H,Section 26 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKM4OL,14,1662596828482
seatgeek-6mOhKZKZ09d,seatgeek,K,121,Section 121 Row K,Section 121 Row K,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKZ09d,13,1662422531728
seatgeek-6mOhKZKZ7gx,seatgeek,K,337,Section 337 Row K,Section 337 Row K,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKZ7gx,12,1662513410585
seatgeek-6mOhKZKZVrv,seatgeek,G,115,Section 115 Row G,Section 115 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKZVrv,6,1662596828482
seatgeek-6mOhKZKZYDD,seatgeek,B,123,Section 123 Row B,Section 123 Row B,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKZYDD,6,1662512456121
seatgeek-6mOhKZKZlpR,seatgeek,E,336,Section 336 Row E,Section 336 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKZlpR,6,1662596828482
seatgeek-6mOhKZKbJbw,seatgeek,D,106,Section 106 Row D,Section 106 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKbJbw,3,1662092838683
seatgeek-6mOhKZKdZ88,seatgeek,F,324,Section 324 Row F,Section 324 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKdZ88,34,1662571727847
seatgeek-6mOhKZKerZB,seatgeek,H,44,Section 44 Row H,Section 44 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKerZB,17,1662596828482
seatgeek-6mOhKZKlaML,seatgeek,F,303,Section 303 Row F,Section 303 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKlaML,3,1662040653139
