ticket,timestampmillis,price
vividseats-VB5753406499,1662861799171,499
vividseats-VB5753406499,1662861991314,499
vividseats-VB5536242570,1662861034307,415
vividseats-VB5536242570,1662861101933,415
vividseats-VB5536242570,1662861206691,415
vividseats-VB5536242570,1662861364054,415
vividseats-VB5536242570,1662861414019,415
vividseats-VB5536242570,1662861799171,415
vividseats-VB5536242570,1662861991314,415
seatgeek-A6rsn62Jgwo,1662861034307,659
seatgeek-A6rsn62Jgwo,1662861101933,630
seatgeek-A6rsn62Jgwo,1662861206691,645
seatgeek-A6rsn62Jgwo,1662861364054,659
seatgeek-A6rsn62Jgwo,1662861414019,659
seatgeek-A6rsn62Jgwo,1662861799171,645
seatgeek-A6rsn62Jgwo,1662861991314,659
seatgeek-jDvsEozAzDw,1662861034307,1553
seatgeek-jDvsEozAzDw,1662861101933,1485
seatgeek-jDvsEozAzDw,1662861206691,1519
seatgeek-jDvsEozAzDw,1662861364054,1553
seatgeek-jDvsEozAzDw,1662861414019,1553
seatgeek-jDvsEozAzDw,1662861799171,1519
seatgeek-jDvsEozAzDw,1662861991314,1553
seatgeek-g48UG3Zq32z,1662861034307,1467
seatgeek-g48UG3Zq32z,1662861101933,1403
seatgeek-g48UG3Zq32z,1662861206691,1435
seatgeek-g48UG3Zq32z,1662861364054,1467
seatgeek-g48UG3Zq32z,1662861414019,1467
seatgeek-g48UG3Zq32z,1662861799171,1435
seatgeek-g48UG3Zq32z,1662861991314,1467
vividseats-VB5771343459,1662861034307,424
vividseats-VB5771343459,1662861101933,424
vividseats-VB5771343459,1662861206691,424
vividseats-VB5771343459,1662861364054,424
vividseats-VB5771343459,1662861414019,424
vividseats-VB5771343459,1662861799171,424
vividseats-VB5771343459,1662861991314,424
seatgeek-lxVsqEMrAbb,1662861034307,1466
seatgeek-lxVsqEMrAbb,1662861101933,1402
seatgeek-lxVsqEMrAbb,1662861206691,1434
seatgeek-lxVsqEMrAbb,1662861364054,1466
seatgeek-lxVsqEMrAbb,1662861414019,1466
seatgeek-lxVsqEMrAbb,1662861799171,1434
seatgeek-lxVsqEMrAbb,1662861991314,1466
seatgeek-eeac5a0qza2,1662861034307,1337
seatgeek-eeac5a0qza2,1662861101933,1279
seatgeek-eeac5a0qza2,1662861206691,1308
seatgeek-eeac5a0qza2,1662861364054,1337
seatgeek-eeac5a0qza2,1662861414019,1337
seatgeek-eeac5a0qza2,1662861799171,1308
seatgeek-eeac5a0qza2,1662861991314,1337
stubhub-5496377571,1662861034307,20347.85
stubhub-5496377571,1662861101933,20347.85
stubhub-5496377571,1662861206691,20347.85
stubhub-5496377571,1662861364054,20347.85
stubhub-5496377571,1662861414019,20347.85
stubhub-5496377571,1662861799171,20347.85
