ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
stubhub-5492583072,stubhub,O,329,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5492583072,1,1662861991314
seatgeek-YgJtqMq46Gj,seatgeek,X,322,Section 322 Row X,Section 322 Row X,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=YgJtqMq46Gj,3,1662861991314
vividseats-VB5773970658,vividseats,M,313,Promenade 313,,https://www.vividseats.com//production/3736730?showDetails=VB5773970658&qty=1,1,1662900872433
seatgeek-JABI523OYlP,seatgeek,W,308,Section 308 Row W,Section 308 Row W,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=JABI523OYlP,3,1662863508793
stubhub-5482354943,stubhub,N,131,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5482354943,1,1662861991314
vividseats-VB5772986260,vividseats,J,27,Courtside 27,,https://www.vividseats.com//production/3736730?showDetails=VB5772986260&qty=1,7,1662912041342
stubhub-5484650174,stubhub,M,317,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5484650174,1,1662861991314
seatgeek-jDvsEozOX2z,seatgeek,L,104,Section 104 Row L,Section 104 Row L,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=jDvsEozOX2z,3,1662908585357
seatgeek-agktE6zk8M7,seatgeek,O,339,Section 339 Row O,Section 339 Row O,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=agktE6zk8M7,2,1662909881449
seatgeek-8lKt3zRqRvG,seatgeek,O,312,Section 312 Row O,Section 312 Row O,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=8lKt3zRqRvG,2,1662902168881
