ticket,site,row,section,url
seatgeek-2v0clARB27z,seatgeek,4,227,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clARB27z
seatgeek-2v0clAdp33m,seatgeek,7,7,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAdp33m
seatgeek-2v0clAdpDV8,seatgeek,10,104,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAdpDV8
seatgeek-2v0clAe693q,seatgeek,11,102,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAe693q
seatgeek-2v0clAeGVpP,seatgeek,11,115,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAeGVpP
seatgeek-2v0clAeLG60,seatgeek,8,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAeLG60
seatgeek-2v0clAeLGeL,seatgeek,21,102,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAeLGeL
seatgeek-2v0clAeRxZv,seatgeek,8,3,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAeRxZv
seatgeek-2v0clAebmPM,seatgeek,1,3,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAebmPM
seatgeek-2v0clAeeRn8,seatgeek,3,217,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAeeRn8
seatgeek-2v0clAkq3EX,seatgeek,6,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAkq3EX
seatgeek-2v0clAkqpPl,seatgeek,6,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAkqpPl
seatgeek-2v0clAnBdN9,seatgeek,19,210,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAnBdN9
seatgeek-2v0clAo0KD8,seatgeek,7,8,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAo0KD8
seatgeek-2v0clAr0LqB,seatgeek,5,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAr0LqB
seatgeek-2v0clAr0xpp,seatgeek,5,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAr0xpp
seatgeek-2v0clArd99A,seatgeek,2,312,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clArd99A
