ticket,site,row,section,url
seatgeek-2v0clAjNKjY,seatgeek,8,Club 217,https://www.seatgeek.com/?listing=2v0clAjNKjY
seatgeek-2v0clAjNzMw,seatgeek,22,234,https://www.seatgeek.com/?listing=2v0clAjNzMw
seatgeek-2v0clAjRPw0,seatgeek,20,511,https://www.seatgeek.com/?listing=2v0clAjRPw0
seatgeek-2v0clAjXj6o,seatgeek,3,412,https://www.seatgeek.com/?listing=2v0clAjXj6o
seatgeek-2v0clAjYRpZ,seatgeek,4,441,https://www.seatgeek.com/?listing=2v0clAjYRpZ
seatgeek-2v0clAjjdll,seatgeek,7,103,https://www.seatgeek.com/?listing=2v0clAjjdll
seatgeek-2v0clAjkMnO,seatgeek,9,311,https://www.seatgeek.com/?listing=2v0clAjkMnO
seatgeek-2v0clAjmE6v,seatgeek,9,540,https://www.seatgeek.com/?listing=2v0clAjmE6v
seatgeek-2v0clAjpXvr,seatgeek,15,232,https://www.seatgeek.com/?listing=2v0clAjpXvr
seatgeek-2v0clAjrEgB,seatgeek,23,233,https://www.seatgeek.com/?listing=2v0clAjrEgB
seatgeek-2v0clAjzLBA,seatgeek,6,245,https://www.seatgeek.com/?listing=2v0clAjzLBA
seatgeek-3q7fvR25Xz9,seatgeek,6,Club 127,https://www.seatgeek.com/?listing=3q7fvR25Xz9
seatgeek-3q7fvRB95RY,seatgeek,2,431,https://www.seatgeek.com/?listing=3q7fvRB95RY
seatgeek-3q7fvRO70gp,seatgeek,19,506,https://www.seatgeek.com/?listing=3q7fvRO70gp
seatgeek-3q7fvROKBqd,seatgeek,13,540,https://www.seatgeek.com/?listing=3q7fvROKBqd
seatgeek-3q7fvROKORe,seatgeek,14,514,https://www.seatgeek.com/?listing=3q7fvROKORe
seatgeek-3q7fvROLVPJ,seatgeek,19,512,https://www.seatgeek.com/?listing=3q7fvROLVPJ
seatgeek-3q7fvRONO2v,seatgeek,7,306,https://www.seatgeek.com/?listing=3q7fvRONO2v
seatgeek-3q7fvROO0V9,seatgeek,13,122,https://www.seatgeek.com/?listing=3q7fvROO0V9
seatgeek-3q7fvROOL9M,seatgeek,17,536,https://www.seatgeek.com/?listing=3q7fvROOL9M
seatgeek-3q7fvROOknb,seatgeek,13,Club 129,https://www.seatgeek.com/?listing=3q7fvROOknb
seatgeek-3q7fvROVN7D,seatgeek,10,518,https://www.seatgeek.com/?listing=3q7fvROVN7D
seatgeek-3q7fvROdqjv,seatgeek,4,426,https://www.seatgeek.com/?listing=3q7fvROdqjv
seatgeek-3q7fvROgZq9,seatgeek,15,541,https://www.seatgeek.com/?listing=3q7fvROgZq9
seatgeek-3q7fvROl4rw,seatgeek,19,Club 133,https://www.seatgeek.com/?listing=3q7fvROl4rw
seatgeek-3q7fvROzxAN,seatgeek,16,539,https://www.seatgeek.com/?listing=3q7fvROzxAN
seatgeek-3q7fvRm597D,seatgeek,17,542,https://www.seatgeek.com/?listing=3q7fvRm597D
seatgeek-3q7fvRmLJ0n,seatgeek,18,522,https://www.seatgeek.com/?listing=3q7fvRmLJ0n
seatgeek-3q7fvRmV8Dv,seatgeek,8,551,https://www.seatgeek.com/?listing=3q7fvRmV8Dv
seatgeek-3q7fvRmXYlq,seatgeek,14,514,https://www.seatgeek.com/?listing=3q7fvRmXYlq
seatgeek-3q7fvRmZ9GY,seatgeek,8,510,https://www.seatgeek.com/?listing=3q7fvRmZ9GY
seatgeek-3q7fvRmZw0D,seatgeek,2,111,https://www.seatgeek.com/?listing=3q7fvRmZw0D
seatgeek-3q7fvRmbOmY,seatgeek,12,205,https://www.seatgeek.com/?listing=3q7fvRmbOmY
seatgeek-3q7fvRmbOzR,seatgeek,3,425,https://www.seatgeek.com/?listing=3q7fvRmbOzR
seatgeek-3q7fvRmbeBq,seatgeek,5,247,https://www.seatgeek.com/?listing=3q7fvRmbeBq
seatgeek-3q7fvRmg4re,seatgeek,5,122,https://www.seatgeek.com/?listing=3q7fvRmg4re
seatgeek-3q7fvRmgELR,seatgeek,7,Club 108,https://www.seatgeek.com/?listing=3q7fvRmgELR
seatgeek-3q7fvRmgK9A,seatgeek,7,235,https://www.seatgeek.com/?listing=3q7fvRmgK9A
seatgeek-3q7fvRmgLLX,seatgeek,5,532,https://www.seatgeek.com/?listing=3q7fvRmgLLX
seatgeek-3q7fvRmga4o,seatgeek,3,Club 242,https://www.seatgeek.com/?listing=3q7fvRmga4o
seatgeek-3q7fvRmgdN2,seatgeek,23,232,https://www.seatgeek.com/?listing=3q7fvRmgdN2
seatgeek-3q7fvRmgxlp,seatgeek,18,131,https://www.seatgeek.com/?listing=3q7fvRmgxlp
seatgeek-3q7fvRmj8eB,seatgeek,8,518,https://www.seatgeek.com/?listing=3q7fvRmj8eB
seatgeek-3q7fvRmk9nk,seatgeek,25,233,https://www.seatgeek.com/?listing=3q7fvRmk9nk
seatgeek-3q7fvRmnGp7,seatgeek,16,544,https://www.seatgeek.com/?listing=3q7fvRmnGp7
seatgeek-3q7fvRmqDMp,seatgeek,13,516,https://www.seatgeek.com/?listing=3q7fvRmqDMp
seatgeek-3q7fvRmxwLz,seatgeek,4,417,https://www.seatgeek.com/?listing=3q7fvRmxwLz
seatgeek-3q7fvRozxoA,seatgeek,7,512,https://www.seatgeek.com/?listing=3q7fvRozxoA
seatgeek-4vXcGD0K5Da,seatgeek,3,335,https://www.seatgeek.com/?listing=4vXcGD0K5Da
seatgeek-4vXcGDn2k3K,seatgeek,5,342,https://www.seatgeek.com/?listing=4vXcGDn2k3K
seatgeek-4vXcGDn5j02,seatgeek,6,335,https://www.seatgeek.com/?listing=4vXcGDn5j02
seatgeek-4vXcGDn5nAk,seatgeek,13,514,https://www.seatgeek.com/?listing=4vXcGDn5nAk
seatgeek-4vXcGDn659K,seatgeek,6,339,https://www.seatgeek.com/?listing=4vXcGDn659K
seatgeek-4vXcGDn7j9G,seatgeek,8,311,https://www.seatgeek.com/?listing=4vXcGDn7j9G
seatgeek-4vXcGDnPBjr,seatgeek,6,Club 223,https://www.seatgeek.com/?listing=4vXcGDnPBjr
seatgeek-4vXcGDnXE9G,seatgeek,14,Club 114,https://www.seatgeek.com/?listing=4vXcGDnXE9G
seatgeek-4vXcGDnaXJk,seatgeek,19,537,https://www.seatgeek.com/?listing=4vXcGDnaXJk
