roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1644004800000,“2022-02-04T15:00:00-05:00”,vividseats,22,460,5891,6351
1644008400000,“2022-02-04T16:00:00-05:00”,stubhub,7,177,4846,5023
1644008400000,“2022-02-04T16:00:00-05:00”,seatgeek,5,99,2644,2743
1644008400000,“2022-02-04T16:00:00-05:00”,vividseats,22,482,5869,6351
1644012000000,“2022-02-04T17:00:00-05:00”,stubhub,8,185,4838,5023
1644012000000,“2022-02-04T17:00:00-05:00”,seatgeek,2,101,2642,2743
1644012000000,“2022-02-04T17:00:00-05:00”,vividseats,23,505,5846,6351
1644015600000,“2022-02-04T18:00:00-05:00”,stubhub,10,195,4828,5023
1644015600000,“2022-02-04T18:00:00-05:00”,seatgeek,7,108,2635,2743
1644015600000,“2022-02-04T18:00:00-05:00”,vividseats,25,530,5821,6351
1644019200000,“2022-02-04T19:00:00-05:00”,stubhub,8,203,4820,5023
1644019200000,“2022-02-04T19:00:00-05:00”,seatgeek,4,112,2631,2743
1644019200000,“2022-02-04T19:00:00-05:00”,vividseats,16,546,5807,6353
1644022800000,“2022-02-04T20:00:00-05:00”,stubhub,14,217,4806,5023
1644022800000,“2022-02-04T20:00:00-05:00”,seatgeek,8,120,2623,2743
1644022800000,“2022-02-04T20:00:00-05:00”,vividseats,33,579,5774,6353
1644026400000,“2022-02-04T21:00:00-05:00”,stubhub,3,220,4803,5023
1644026400000,“2022-02-04T21:00:00-05:00”,seatgeek,1,121,2622,2743
1644026400000,“2022-02-04T21:00:00-05:00”,vividseats,7,586,5767,6353
1644030000000,“2022-02-04T22:00:00-05:00”,stubhub,3,223,4800,5023
1644030000000,“2022-02-04T22:00:00-05:00”,seatgeek,3,124,2619,2743
1644030000000,“2022-02-04T22:00:00-05:00”,vividseats,7,593,5760,6353
1644033600000,“2022-02-04T23:00:00-05:00”,stubhub,1,224,4799,5023
1644033600000,“2022-02-04T23:00:00-05:00”,seatgeek,0,124,2619,2743
1644033600000,“2022-02-04T23:00:00-05:00”,vividseats,6,599,5754,6353
1644037200000,“2022-02-05T00:00:00-05:00”,stubhub,2,226,4797,5023
1644037200000,“2022-02-05T00:00:00-05:00”,seatgeek,1,125,2618,2743
1644037200000,“2022-02-05T00:00:00-05:00”,vividseats,2,601,5752,6353
1644040800000,“2022-02-05T01:00:00-05:00”,stubhub,3,229,4794,5023
1644040800000,“2022-02-05T01:00:00-05:00”,seatgeek,1,126,2617,2743
1644040800000,“2022-02-05T01:00:00-05:00”,vividseats,2,603,5750,6353
1644044400000,“2022-02-05T02:00:00-05:00”,stubhub,3,232,4791,5023
1644044400000,“2022-02-05T02:00:00-05:00”,seatgeek,0,126,2617,2743
1644044400000,“2022-02-05T02:00:00-05:00”,vividseats,3,606,5747,6353
1644048000000,“2022-02-05T03:00:00-05:00”,stubhub,7,239,4784,5023
1644048000000,“2022-02-05T03:00:00-05:00”,seatgeek,2,128,2615,2743
1644048000000,“2022-02-05T03:00:00-05:00”,vividseats,9,615,5738,6353
1644051600000,“2022-02-05T04:00:00-05:00”,stubhub,2,241,4782,5023
1644051600000,“2022-02-05T04:00:00-05:00”,seatgeek,1,129,2614,2743
