ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
seatgeek-2v0clAO03Jv,seatgeek,16,Club 128,https://www.seatgeek.com/?listing=2v0clAO03Jv,11,1644710635934
seatgeek-2v0clAO04xr,seatgeek,24,233,https://www.seatgeek.com/?listing=2v0clAO04xr,14,1644727842508
seatgeek-2v0clAO376M,seatgeek,11,Club 135,https://www.seatgeek.com/?listing=2v0clAO376M,1,1644605522736
seatgeek-2v0clAO3elv,seatgeek,5,439,https://www.seatgeek.com/?listing=2v0clAO3elv,1,1644605522736
seatgeek-2v0clAO4OZ7,seatgeek,5,419,https://www.seatgeek.com/?listing=2v0clAO4OZ7,1,1644458957692
seatgeek-2v0clAO5jqp,seatgeek,2,453,https://www.seatgeek.com/?listing=2v0clAO5jqp,10,1644728788763
seatgeek-2v0clAO5zYE,seatgeek,14,514,https://www.seatgeek.com/?listing=2v0clAO5zYE,8,1644712425754
seatgeek-2v0clAO6pr3,seatgeek,6,518,https://www.seatgeek.com/?listing=2v0clAO6pr3,4,1644712425754
seatgeek-2v0clAO7JBN,seatgeek,13,522,https://www.seatgeek.com/?listing=2v0clAO7JBN,18,1644785651939
seatgeek-2v0clAO8JJR,seatgeek,7,537,https://www.seatgeek.com/?listing=2v0clAO8JJR,3,1644777058958
seatgeek-2v0clAO9A6a,seatgeek,12,226,https://www.seatgeek.com/?listing=2v0clAO9A6a,3,1644774203571
seatgeek-2v0clAO9xRv,seatgeek,9,513,https://www.seatgeek.com/?listing=2v0clAO9xRv,1,1644769449937
seatgeek-2v0clAOED2m,seatgeek,17,Club 243,https://www.seatgeek.com/?listing=2v0clAOED2m,3,1644553240875
seatgeek-2v0clAOG0R8,seatgeek,7,518,https://www.seatgeek.com/?listing=2v0clAOG0R8,1,1644764669679
seatgeek-2v0clAOGK3x,seatgeek,10,539,https://www.seatgeek.com/?listing=2v0clAOGK3x,15,1644780868143
seatgeek-2v0clAOGjON,seatgeek,20,232,https://www.seatgeek.com/?listing=2v0clAOGjON,7,1644712425754
seatgeek-2v0clAOLAwp,seatgeek,6,104,https://www.seatgeek.com/?listing=2v0clAOLAwp,9,1644712425754
seatgeek-2v0clAOLXVj,seatgeek,13,202,https://www.seatgeek.com/?listing=2v0clAOLXVj,1,1644699159265
seatgeek-2v0clAOLoVl,seatgeek,3,318,https://www.seatgeek.com/?listing=2v0clAOLoVl,7,1644758478205
seatgeek-2v0clAOLojr,seatgeek,12,Club 134,https://www.seatgeek.com/?listing=2v0clAOLojr,2,1644702000843
seatgeek-2v0clAOME3B,seatgeek,20,528,https://www.seatgeek.com/?listing=2v0clAOME3B,1,1644590601669
seatgeek-2v0clAOR2Pd,seatgeek,18,234,https://www.seatgeek.com/?listing=2v0clAOR2Pd,3,1644760387085
seatgeek-2v0clAOY9rN,seatgeek,11,124,https://www.seatgeek.com/?listing=2v0clAOY9rN,1,1644419598764
seatgeek-2v0clAOYeOK,seatgeek,22,516,https://www.seatgeek.com/?listing=2v0clAOYeOK,1,1644419598764
seatgeek-2v0clAOYez4,seatgeek,1,513,https://www.seatgeek.com/?listing=2v0clAOYez4,1,1644378381303
